\COMMENT=FITSWriter: database:WSERV1v20100706
\SYMBOL={} cross 5
\ FITSWriter: database:WSERV1v20100706
\ 22/07/10 00:15
\ SQL Query
\ select SourceID,meanMjdObs,s.ra,s.dec,jmhPnt,jmhPntErr,hmkPnt,
\ hmkPntErr,jAperMag3, JApermag3Err,hAperMag3,HAperMag3Err,kAperMag3,
\ KAperMag3Err,jppErrBits,hppErrBits,kppErrBits, MergedClass,pStar from
\ wserv1SourceXSynopticSourceBestMatch as b, wserv1SynopticMergeLog as
\ l,wserv1SynopticSource as s where b.synFrameSetID=s.synFrameSetID and
\ b.synSeqNum=s.synSeqNum and b.synFrameSetID=l.synFrameSetID and
\ JAperMag3Err < 1 and HAperMag3Err < 1 and KAperMag3Err < 1 and
\ JAperMag3 > 5 and JAperMag3 < 20 and HAperMag3 > 5 and HAperMag3 < 20
\ and KAperMag3 > 5 and KAperMag3 < 20 and s.ra < 315.1075 order by
\ meanMjdObs
|              SOURCEID|               MEANMJDOBS|                       RA|                      DEC|          JMHPNT|       JMHPNTERR|          HMKPNT|       HMKPNTERR|       JAPERMAG3|    JAPERMAG3ERR|       HAPERMAG3|    HAPERMAG3ERR|       KAPERMAG3|    KAPERMAG3ERR|  JPPERRBITS|  HPPERRBITS|  KPPERRBITS|MERGEDCLASS|           PSTAR|
|                   int|                   double|                   double|                   double|           float|           float|           float|           float|           float|           float|           float|           float|           float|           float|         int|         int|         int|        int|           float|
|                      |                         |                  RADIANS|                  RADIANS|                |                |                |                |                |                |                |                |                |                |            |            |            |           |                |
         44027710046652   5.46036133499999996e+04   5.49899220374037601e+00   9.15246396867121392e-01   1.03322411e+00   1.93042471e-03   7.49558449e-01   1.25803635e-03   1.25690193e+01   1.70285499e-03   1.15357952e+01   9.09298891e-04   1.07862368e+01   8.69385432e-04            0            0            0          -1   9.99657214e-01 
         44027710046652   5.46046030467000019e+04   5.49899230391019866e+00   9.15246444088882893e-01   1.05753899e+00   1.99763803e-03   7.85098076e-01   1.32198108e-03   1.27026052e+01   1.74306484e-03   1.16450663e+01   9.75849573e-04   1.08599682e+01   8.91824835e-04            0            0            0          -1   9.99657214e-01 
         44027710046652   5.46056116232999993e+04   5.49899225328763919e+00   9.15246385387835204e-01   1.11982822e+00   2.29534321e-03   8.03554535e-01   1.43653678e-03   1.29054356e+01   2.04237900e-03   1.17856073e+01   1.04751554e-03   1.09820528e+01   9.83030652e-04            0            0            0          -1   9.99657214e-01 
         44027710046652   5.46066164633000008e+04   5.49899219437706144e+00   9.15246391068261667e-01   1.20179939e+00   2.85758055e-03   9.52330589e-01   1.72761641e-03   1.33615131e+01   2.52997992e-03   1.21597137e+01   1.32852083e-03   1.12073832e+01   1.10439619e-03            0            0            0          -1   9.99657214e-01 
         44027710046652   5.46075973932999987e+04   5.49899226824635967e+00   9.15246379906834329e-01   1.20386124e+00   3.16116400e-03   9.70076561e-01   1.88593054e-03   1.36693258e+01   2.81876978e-03   1.24654646e+01   1.43090682e-03   1.14953880e+01   1.22851122e-03            0            0            0          -1   9.99657214e-01 
         44027710046652   5.46086043233000019e+04   5.49899227782708344e+00   9.15246397192365557e-01   1.25207996e+00   3.88483936e-03   1.02885246e+00   2.17455323e-03   1.38477163e+01   3.49952118e-03   1.25956364e+01   1.68681005e-03   1.15667839e+01   1.37235341e-03            0            0            0          -1   9.99657214e-01 
         44027710046652   5.47282578066999995e+04   5.49899224771648854e+00   9.15246336050752785e-01   1.21632385e+00   2.03205692e-03   9.53043938e-01   1.21753430e-03   1.33155336e+01   1.80224585e-03   1.20992098e+01   9.38703830e-04   1.11461658e+01   7.75386987e-04            0            0            0          -1   9.99657214e-01 
         44027710046652   5.47292217499999970e+04   5.49899213166196965e+00   9.15246353242850974e-01   1.11623383e+00   1.67423231e-03   8.57747078e-01   1.04956049e-03   1.28911552e+01   1.47723628e-03   1.17749214e+01   7.87925732e-04   1.09171743e+01   6.93361624e-04            0            0            0          -1   9.99657214e-01 
         44027710046652   5.47302134166999967e+04   5.49899231944573863e+00   9.15246415802716595e-01   1.03871346e+00   1.56403542e-03   7.57486343e-01   1.04544859e-03   1.25763330e+01   1.34619686e-03   1.15376196e+01   7.96216656e-04   1.07801332e+01   6.77496777e-04            0            0            0          -1   9.99657214e-01 
         44027710046652   5.47312123399999982e+04   5.49899224528215846e+00   9.15246323153647956e-01   1.06308937e+00   1.96329830e-03   7.64594078e-01   1.25124434e-03   1.25261278e+01   1.73177570e-03   1.14630384e+01   9.24928521e-04   1.06984444e+01   8.42685928e-04            0            0            0          -1   9.99657214e-01 
         44027710046652   5.47322026499999993e+04   5.49899223461456010e+00   9.15246328476193027e-01   1.05655003e+00   1.82183413e-03   8.35084915e-01   1.12828019e-03   1.26267824e+01   1.59751636e-03   1.15702324e+01   8.75797472e-04   1.07351475e+01   7.11333181e-04            0            0            0          -1   9.99657214e-01 
         44027710046652   5.47332093900000036e+04   5.49899230781871751e+00   9.15246357507918606e-01   1.09098721e+00   1.59964687e-03   8.10546875e-01   1.01505965e-03   1.28379784e+01   1.40386529e-03   1.17469912e+01   7.66832614e-04   1.09364443e+01   6.65066706e-04            0            0        65536          -1   9.99657214e-01 
         44027710046652   5.47342115699999995e+04   5.49899217493393255e+00   9.15246343842692767e-01   1.03390884e+00   2.34334473e-03   7.38524437e-01   1.53930834e-03   1.28206959e+01   2.03935662e-03   1.17867870e+01   1.15424837e-03   1.10482626e+01   1.01842079e-03            0            0            0          -1   9.99657214e-01 
         44027710046652   5.47382220566999968e+04   5.49899220068013683e+00   9.15246347981486186e-01   1.14253521e+00   2.39872234e-03   8.51555824e-01   1.53915130e-03   1.30771189e+01   2.09569512e-03   1.19345837e+01   1.16701808e-03   1.10830278e+01   1.00352161e-03            0            0            0          -1   9.99657214e-01 
         44027710046652   5.47392064299999984e+04   5.49899217740982227e+00   9.15246360258297753e-01   1.04989624e+00   2.10950244e-03   7.87781715e-01   1.33406743e-03   1.26790895e+01   1.86781050e-03   1.16291933e+01   9.80451005e-04   1.08414116e+01   9.04683198e-04            0            0            0          -1   9.99657214e-01 
         44027710046652   5.47402162232999981e+04   5.49899208824786712e+00   9.15246312496821313e-01   1.01918125e+00   2.06409581e-03   7.69367218e-01   1.39627629e-03   1.26471453e+01   1.79462379e-03   1.16279640e+01   1.01971428e-03   1.08585968e+01   9.53818788e-04            0            0            0          -1   9.99657214e-01 
         44027710046652   5.47412043332999965e+04   5.49899199388952020e+00   9.15246322543729951e-01   1.06830597e+00   2.20654299e-03   7.83602715e-01   1.38401170e-03   1.27352715e+01   1.94952695e-03   1.16669655e+01   1.03352615e-03   1.08833628e+01   9.20495542e-04            0            0            0          -1   9.99657214e-01 
         44027710046652   5.47422022199999992e+04   5.49899216006111313e+00   9.15246356061501398e-01   1.10861874e+00   2.33027921e-03   8.09887886e-01   1.47090678e-03   1.29513912e+01   2.06361734e-03   1.18427725e+01   1.08244363e-03   1.10328846e+01   9.95932962e-04            0            0            0          -1   9.99657214e-01 
         44027710046652   5.47431967732999983e+04   5.49899218303174564e+00   9.15246323022578911e-01   1.08078671e+00   2.33566179e-03   7.56593704e-01   1.50850147e-03   1.29203281e+01   2.05705152e-03   1.18395414e+01   1.10627979e-03   1.10829477e+01   1.02553482e-03            0            0            0          -1   9.99657214e-01 
         44027710046652   5.47441997499999998e+04   5.49899218527115252e+00   9.15246318813906834e-01   1.14038277e+00   2.68594758e-03   8.53993416e-01   1.63222628e-03   1.33250332e+01   2.40883417e-03   1.21846504e+01   1.18820556e-03   1.13306570e+01   1.11907558e-03            0            0            0          -1   9.99657214e-01 
         44027710046652   5.47452183433000027e+04   5.49899212528089176e+00   9.15246343618926539e-01   1.28095341e+00   3.67467222e-03   1.03766537e+00   2.05879961e-03   1.38761215e+01   3.31625715e-03   1.25951681e+01   1.58292602e-03   1.15575027e+01   1.31643494e-03            0            0            0          -1   9.99657214e-01 
         44027710046652   5.47461992366999984e+04   5.49899227109357280e+00   9.15246433192547171e-01   1.18388176e+00   2.95672985e-03   9.13075447e-01   1.69675925e-03   1.32407417e+01   2.65497575e-03   1.20568600e+01   1.30128989e-03   1.11437845e+01   1.08886941e-03            0            0            0          -1   9.99657214e-01 
         44027710046652   5.47472509132999985e+04   5.49899220909191389e+00   9.15246407343991653e-01   1.12122726e+00   2.29953555e-03   8.50388527e-01   1.46894646e-03   1.29733963e+01   2.01951829e-03   1.18521690e+01   1.09973166e-03   1.10017805e+01   9.73855262e-04            0            0            0          -1   9.99657214e-01 
         44027710046652   5.47492099267000012e+04   5.49899222558889722e+00   9.15246300127580570e-01   1.07511139e+00   2.47638719e-03   7.72958755e-01   1.87254779e-03   1.26169653e+01   2.09493376e-03   1.15418539e+01   1.32050959e-03   1.07688951e+01   1.32766319e-03            0            0            0          -1   9.99657214e-01 
         44027710046652   5.47512130166999996e+04   5.49899225785734558e+00   9.15246224549379650e-01   1.09658527e+00   2.20722030e-03   8.98195267e-01   1.37396576e-03   1.26541739e+01   1.93700148e-03   1.15575886e+01   1.05822808e-03   1.06593933e+01   8.76319187e-04            0            0            0          -1   9.99657214e-01 
         44027710046652   5.47522123967000007e+04   5.49899225410539039e+00   9.15246318539734482e-01   1.13044643e+00   2.53897766e-03   8.89575958e-01   1.50316744e-03   1.29683523e+01   2.26104097e-03   1.18379059e+01   1.15503278e-03   1.09483299e+01   9.61983169e-04            0            0            0          -1   9.99657214e-01 
         44027710046652   5.47552055200000032e+04   5.49899208565344999e+00   9.15246297497975259e-01   1.19654655e+00   3.24935559e-03   9.11687851e-01   1.94241118e-03   1.34009304e+01   2.86975526e-03   1.22043839e+01   1.52407866e-03   1.12926960e+01   1.20421988e-03            0            0            0          -1   9.99657214e-01 
         44027710046652   5.47572961633000014e+04   5.49899216099601151e+00   9.15246335239439768e-01   1.05048370e+00   2.00840528e-03   7.91000366e-01   1.33792369e-03   1.26941175e+01   1.74025982e-03   1.16436338e+01   1.00259040e-03   1.08526335e+01   8.85918853e-04            0            0            0          -1   9.99657214e-01 
         44027710046652   5.47583122866999984e+04   5.49899221820840278e+00   9.15246309026038318e-01   1.01188183e+00   1.78058795e-03   7.55558968e-01   1.20277319e-03   1.25479412e+01   1.54842203e-03   1.15360594e+01   8.79137544e-04   1.07805004e+01   8.20841291e-04            0            0            0          -1   9.99657214e-01 
         44027710046652   5.47592925166999994e+04   5.49899220887312801e+00   9.15246273486362005e-01   1.04631424e+00   1.90983561e-03   7.82124519e-01   1.21474627e-03   1.25514269e+01   1.68653380e-03   1.15051126e+01   8.96145008e-04   1.07229881e+01   8.20080924e-04            0            0            0          -1   9.99657214e-01 
         44027710046652   5.47602553132999965e+04   5.49899223810460747e+00   9.15246342272914237e-01   1.09409237e+00   2.07765494e-03   8.34426880e-01   1.34722912e-03   1.27933655e+01   1.81999698e-03   1.16992731e+01   1.00212812e-03   1.08648462e+01   9.00425250e-04            0            0            0          -1   9.99657214e-01 
         44027710046652   5.47612615999999980e+04   5.49899224417271171e+00   9.15246296991877761e-01   1.15727711e+00   2.50070612e-03   8.45545769e-01   1.55730743e-03   1.31453552e+01   2.21208413e-03   1.19880781e+01   1.16628245e-03   1.11425323e+01   1.03198434e-03            0            0            0          -1   9.99657214e-01 
         44027710046652   5.47652024867000000e+04   5.49899219269854722e+00   9.15246349545787097e-01   1.08010197e+00   2.63579725e-03   8.26572418e-01   1.60674495e-03   1.30108004e+01   2.34168139e-03   1.19306984e+01   1.20994041e-03   1.11041260e+01   1.05720072e-03            0            0            0          -1   9.99657214e-01 
